NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,4,4.8,1.2,0.3,9.4,11.2,47.6190476190476,[],0
128,25,5,4.3,0.8,0.1,9.5,10.7,50,[],0
128,25,5,6.2,1.3,0.1,11,12.8,40,[0.927127],0.927127
128,25,4,4.7,1.7,0.1,10.8,13.3,43.4782608695652,[],0
128,25,4,4.6,1.6,0.1,10.8,13.4,41.6666666666667,"[0.578414, 0.513611]",1.092025
128,25,5,5.4,1.7,0.1,11,13.6,38.4615384615385,"[0.972608, 0.883261]",1.855869
128,25,3,6.3,1.3,0.1,10.8,12.7,43.4782608695652,[],0
128,25,4,5.8,1.4,0.1,11.3,13.2,41.6666666666667,[],0
128,25,5,6,2,0.1,10.9,14,37.037037037037,"[0.921058, 0.935211]",1.856269
128,25,6,5.5,2.1,0.1,11.1,14.5,37.037037037037,[0.797383],0.797383
128,25,3,3.7,1.9,0.1,14.4,17.3,38.4615384615385,[0.800812],0.800812
128,25,4,5.3,1.8,0.3,9,11.7,43.4782608695652,"[0.960234, 0.947595, 0.802816, 0.689865]",3.40051
128,25,3,4.7,0.3,0.1,7.7,8.3,58.8235294117647,[0.823607],0.823607
128,25,5,6.7,1.1,0.1,10.7,12.3,40,[],0
128,25,4,6.1,1.7,0.3,16.1,18.9,30.3030303030303,"[0.861337, 0.907747, 0.718467, 0.718061, 0.691974]",3.897586
128,25,3,5.3,1.2,0.3,10.8,12.7,43.4782608695652,[0.731006],0.731006
128,25,5,4.9,1.6,0.1,10.7,13.1,41.6666666666667,[0.916348],0.916348
128,25,3,4.8,0.9,0.1,10.8,12.2,50,[0.815069],0.815069
128,25,4,5.4,1.2,0.1,10.9,12.6,45.4545454545455,[],0
128,25,5,4.3,1.3,0.1,10.7,12.7,43.4782608695652,[0.900698],0.900698
128,25,1,4.9,0.6,0.1,11.1,12.1,55.5555555555556,[],0
128,25,4,6.1,2,0.1,10.8,13.9,38.4615384615385,[0.784407],0.784407
128,25,6,4.4,1.6,0.1,9.2,11.6,41.6666666666667,"[0.976404, 0.54555, 0.520731]",2.042685
